section:,Software Concepts,Software Concepts,Software Concepts,Software Concepts,Python Concepts,Python Concepts,Python Programming,Python Programming,Python Programming,Python Programming,Python Programming,Python Concepts,Python Concepts,Business Concepts,Business Concepts,Business Concepts,Business Concepts,
weight:,5%,10%,6%,6%,2%,12%,3%,2%,10%,9%,5%,6%,6%,5%,5%,4%,4%,100%
random_student_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Score
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.98
11,1,1,1,1,1,1,1,1,1,0.7777777778,0.8,1,1,1,1,1,1,0.97
20,1,0.8,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.75,1,0.96
36,0.6,1,1,1,1,1,1,0.5,1,1,0.8,1,1,1,1,1,1,0.96
40,1,1,1,1,1,1,1,0,1,1,1,0.8333333333,1,1,1,0.75,1,0.96
21,1,1,1,1,1,1,1,0.5,1,1,0.8,1,0.6666666667,1,1,0.75,1,0.95
30,1,1,1,1,1,1,1,0.5,1,0.8888888889,1,0.6666666667,1,1,1,0.75,1,0.95
24,1,0.7,1,1,1,1,1,1,1,0.8888888889,1,1,1,1,1,0.75,0.75,0.94
2,1,1,1,1,1,1,1,1,0.9,0.6666666667,1,0.8333333333,0.6666666667,1,1,1,1,0.93
5,1,0.5,1,1,1,1,1,1,1,1,0.8,1,1,1,1,0.75,0.75,0.92
7,1,0.6,1,1,1,1,1,1,0.9,0.6666666667,0.8,1,1,1,1,1,1,0.91
18,1,0.9,1,1,1,1,1,0.5,1,0.5555555556,1,0.8333333333,0.8333333333,1,1,0.75,1,0.91
22,1,1,1,1,1,1,1,0.5,0.8,0.4444444444,1,0.8333333333,1,1,1,1,1,0.91
25,1,0.9,1,1,1,1,1,0.5,1,0.4444444444,1,1,1,0.8,1,0.75,1,0.91
28,0.6,0.8,0.6666666667,1,1,1,1,0.5,0.9,1,1,1,1,1,1,1,0.75,0.91
31,1,0.9,1,0.8333333333,1,1,1,1,0.9,0.6666666667,1,1,0.8333333333,1,0.8,0.75,0.75,0.9
1,1,1,1,1,1,1,1,1,0.6,0.3333333333,1,1,0.8333333333,1,1,1,1,0.89
9,1,1,1,1,1,1,1,0.5,1,0.3333333333,1,0.6666666667,0.8333333333,1,1,0.75,0.75,0.88
19,1,1,1,1,1,1,1,0.5,0.9,0.3333333333,0.6,0.8333333333,0.8333333333,1,1,0.75,1,0.87
15,0.6,0.8,1,0.6666666667,0.5,1,1,0.5,0.9,0.6666666667,0.8,1,1,1,1,0.75,1,0.86
32,1,0.7,1,1,1,1,1,0.5,0.7,0.6666666667,0.6,0.6666666667,1,1,1,1,0.75,0.85
38,1,1,1,0.6666666667,1,1,1,0.5,0.9,0.3333333333,0.8,0.3333333333,1,1,1,0.75,1,0.84
41,1,0.6,1,1,1,1,1,0,0.6,0.7777777778,1,1,0.3333333333,1,1,1,1,0.84
26,0.6,0.6,1,1,1,1,1,0.5,0.7,0.8888888889,0.8,0.6666666667,1,1,1,0.5,0.75,0.83
29,1,1,1,1,1,1,1,0.5,0.6,0.3333333333,0.4,0.6666666667,1,1,1,1,0.75,0.83
33,1,0.5,0.5,1,1,1,1,0.5,0.6,1,0.6,1,1,1,1,0.5,1,0.83
17,1,1,1,1,1,1,1,1,0.4,0.3333333333,0.8,0.5,0.8333333333,1,1,1,0.75,0.82
35,1,0.5,1,1,1,1,1,0.5,1,0.5555555556,0.8,0.6666666667,0.5,1,1,0.75,0.75,0.82
37,1,0.8,1,1,1,1,1,0.5,0.6,0.3333333333,0.6,0.6666666667,1,1,1,1,0.75,0.82
8,1,1,1,1,1,1,1,0.5,0.5,0.2777777778,0.8,0.1666666667,0.8333333333,1,1,1,0.75,0.795
3,1,0.7,1,1,1,1,1,0.5,0.7,0.2222222222,0.6,0.6666666667,0.6666666667,1,1,0.75,0.75,0.78
27,1,0.8,0.8333333333,1,1,1,1,0.5,0.8,0.3333333333,1,0,0.3333333333,1,1,1,1,0.78
13,1,0.5,1,1,1,1,1,0.5,0.8,0.3333333333,0.2,0.6666666667,0.8333333333,1,1,0.75,0.75,0.77
39,1,0.5,1,0.8333333333,1,1,1,0.5,0.6,0.3333333333,0.8,0.5,0.8333333333,1,1,0.75,0.75,0.76
6,1,1,1,0.6666666667,1,1,1,1,0.4,0.1111111111,0.6,0.1666666667,1,1,1,0.75,0.75,0.75
4,0.6,0.5,1,0.6666666667,1,1,1,0.5,0.5,0.5,0.8,1,0.5,1,1,0.75,0.75,0.745
23,0.6,0.8,1,1,1,1,1,0.5,0.2,0.1666666667,0.2,1,0.6666666667,1,1,1,1,0.735
14,1,0.8,1,1,1,1,1,0.5,0.6,0.1666666667,0.4,0.1666666667,0.5,1,1,0.75,1,0.735
12,1,0.5,1,0.8333333333,1,1,1,0.5,0.4,0.3333333333,0.8,0.1666666667,0.8333333333,1,1,1,0.75,0.73
16,0.6,0.7,1,0.6666666667,1,1,0.6666666667,0.5,0.2,0.3333333333,0.6,1,0.6666666667,1,1,0.75,1,0.72
